ph_value,do_value,temp_value,salinity_value,ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered,label,status
9.600,9.650,28.900,224.100,8.298,9.652,28.900,225.668,0,
9.800,9.650,28.900,224.100,8.332,9.652,28.900,225.614,0,
6.900,9.650,28.900,225.800,8.333,9.652,28.900,225.609,0,
9.600,9.650,28.900,224.100,8.302,9.652,28.900,225.649,0,
6.800,9.650,28.900,227.500,8.244,9.652,28.900,225.723,0,
9.900,9.650,28.900,224.100,8.162,9.652,28.900,225.816,0,
9.200,9.650,28.900,229.200,8.060,9.653,28.900,225.915,0,
6.700,9.650,28.900,225.800,7.952,9.654,28.900,226.012,0,
7.000,9.660,28.900,227.500,7.850,9.655,28.900,226.107,0,
6.700,9.660,28.900,227.500,7.768,9.655,28.900,226.213,0,
7.300,9.660,28.900,222.400,7.708,9.656,28.900,226.349,0,
9.600,9.650,28.900,224.100,7.667,9.656,28.900,226.531,0,
7.900,9.660,28.900,225.800,7.640,9.657,28.900,226.758,0,
6.800,9.660,28.900,227.500,7.631,9.657,28.900,227.008,0,
7.000,9.660,28.900,227.500,7.645,9.657,28.900,227.249,0,
8.800,9.660,28.900,230.900,7.684,9.656,28.900,227.448,0,
6.800,9.650,28.900,227.500,7.750,9.656,28.900,227.584,0,
6.800,9.650,28.900,227.500,7.843,9.656,28.900,227.649,0,
6.900,9.660,28.900,227.500,7.959,9.656,28.900,227.643,0,
8.600,9.660,28.900,234.200,8.084,9.655,28.900,227.572,0,
9.600,9.650,28.900,224.100,8.203,9.655,28.900,227.454,0,
9.800,9.650,28.900,224.100,8.299,9.655,28.900,227.322,0,
9.400,9.650,28.900,227.500,8.370,9.655,28.900,227.205,0,
6.800,9.660,28.900,227.500,8.423,9.656,28.900,227.117,0,
9.400,9.660,28.900,227.500,8.468,9.656,28.900,227.063,0,
7.200,9.660,28.900,225.800,8.519,9.656,28.900,227.050,0,
6.700,9.660,28.900,227.500,8.580,9.656,28.900,227.084,0,
8.400,9.650,28.900,227.500,8.650,9.656,28.900,227.169,0,
9.600,9.650,28.900,224.100,8.718,9.657,28.900,227.305,0,
9.600,9.660,28.900,227.500,8.767,9.657,28.900,227.489,0,
9.200,9.660,28.900,229.200,8.786,9.657,28.900,227.704,0,
9.600,9.650,28.900,224.100,8.771,9.658,28.900,227.929,0,
8.500,9.660,28.900,232.600,8.721,9.658,28.900,228.140,0,
9.600,9.660,28.900,227.500,8.644,9.658,28.900,228.312,0,
8.000,9.660,28.900,227.500,8.548,9.658,28.900,228.426,0,
8.600,9.660,28.900,229.200,8.446,9.658,28.900,228.465,0,
8.700,9.660,28.900,234.200,8.350,9.658,28.900,228.418,0,
7.400,9.660,28.900,225.800,8.272,9.658,28.900,228.285,0,
6.600,9.660,28.900,229.200,8.225,9.658,28.900,228.084,0,
7.000,9.660,28.900,227.500,8.211,9.657,28.900,227.841,0,
9.900,9.650,28.900,224.100,8.224,9.657,28.900,227.581,0,
9.600,9.650,28.900,227.500,8.253,9.656,28.900,227.319,0,
6.600,9.660,28.900,230.900,8.294,9.655,28.900,227.061,0,
6.900,9.660,28.900,227.500,8.342,9.655,28.900,226.815,0,
9.800,9.650,28.900,224.100,8.392,9.654,28.900,226.600,0,
7.000,9.660,28.900,227.500,8.428,9.653,28.900,226.444,0,
9.800,9.650,28.900,224.100,8.437,9.653,28.900,226.369,0,
9.900,9.650,28.900,224.100,8.404,9.653,28.900,226.390,0,
9.800,9.650,28.900,224.100,8.321,9.652,28.900,226.505,0,
9.500,9.650,28.900,227.500,8.196,9.653,28.900,226.695,0,
6.800,9.650,28.900,227.500,8.046,9.653,28.900,226.926,0,
6.800,9.650,28.900,227.500,7.896,9.653,28.900,227.160,0,
6.700,9.650,28.900,227.500,7.767,9.654,28.900,227.364,0,
6.700,9.660,28.900,232.600,7.668,9.655,28.900,227.513,0,
8.500,9.660,28.900,227.500,7.602,9.655,28.900,227.593,0,
6.800,9.660,28.900,227.500,7.564,9.656,28.900,227.614,0,
9.800,9.650,28.900,224.100,7.551,9.656,28.900,227.592,0,
6.700,9.660,28.900,225.800,7.561,9.656,28.900,227.537,0,
6.600,9.660,28.900,232.600,7.599,9.657,28.900,227.445,0,
6.700,9.660,28.900,227.500,7.668,9.657,28.900,227.310,0,
6.700,9.660,28.900,227.500,7.762,9.656,28.900,227.139,0,
9.600,9.650,28.900,224.100,7.869,9.656,28.900,226.949,0,
9.900,9.650,28.900,224.100,7.973,9.656,28.900,226.756,0,
6.700,9.650,28.900,227.500,8.069,9.655,28.900,226.558,0,
9.100,9.660,28.900,230.900,8.156,9.655,28.900,226.344,0,
7.400,9.660,28.900,225.800,8.237,9.654,28.900,226.106,0,
7.300,9.660,28.900,225.800,8.315,9.654,28.900,225.856,0,
9.900,9.650,28.900,224.100,8.389,9.654,28.900,225.613,0,
6.800,9.650,28.900,225.800,8.454,9.653,28.900,225.398,0,
9.900,9.650,28.900,224.100,8.506,9.653,28.900,225.222,0,
7.600,9.650,28.900,225.800,8.540,9.653,28.900,225.095,0,
9.600,9.650,28.900,224.100,8.551,9.652,28.900,225.021,0,
7.400,9.660,28.900,225.800,8.537,9.652,28.900,225.005,0,
9.700,9.650,28.900,224.100,8.494,9.653,28.900,225.050,0,
9.900,9.650,28.900,224.100,8.421,9.653,28.900,225.155,0,
7.800,9.660,28.900,225.800,8.322,9.653,28.900,225.318,0,
7.500,9.650,28.900,225.800,8.207,9.653,28.900,225.530,0,
9.600,9.650,28.900,224.100,8.088,9.654,28.900,225.781,0,
6.800,9.650,28.900,227.500,7.979,9.654,28.900,226.059,0,
6.800,9.650,28.900,227.500,7.890,9.655,28.900,226.351,0,
6.600,9.660,28.900,224.100,7.829,9.656,28.900,226.649,0,
9.400,9.660,28.900,227.500,7.796,9.656,28.900,226.941,0,
6.700,9.660,28.900,227.500,7.784,9.656,28.900,227.215,0,
7.400,9.660,28.900,225.800,7.789,9.657,28.900,227.453,0,
8.000,9.660,28.900,227.500,7.802,9.657,28.900,227.634,0,
8.500,9.660,28.900,234.200,7.812,9.657,28.900,227.737,0,
9.600,9.650,28.900,227.500,7.812,9.656,28.900,227.750,0,
8.500,9.650,28.900,227.500,7.802,9.656,28.900,227.686,0,
6.600,9.660,28.900,227.500,7.789,9.656,28.900,227.570,0,
6.700,9.650,28.900,225.800,7.789,9.656,28.900,227.431,0,
6.900,9.660,28.900,227.500,7.808,9.656,28.900,227.291,0,
9.300,9.660,28.900,227.500,7.847,9.656,28.900,227.169,0,
6.800,9.650,28.900,225.800,7.902,9.656,28.900,227.077,0,
7.900,9.660,28.900,227.500,7.969,9.655,28.900,227.029,0,
9.600,9.650,28.900,224.100,8.044,9.655,28.900,227.031,0,
6.900,9.660,28.900,225.800,8.123,9.655,28.900,227.081,0,
6.700,9.650,28.900,225.800,8.204,9.655,28.900,227.163,0,
9.200,9.660,28.900,229.200,8.281,9.655,28.900,227.245,0,
