ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
9.905,9.622,28.953,355.599
9.850,9.623,28.954,352.222
9.861,9.623,28.953,353.507
9.930,9.621,28.952,359.267
10.040,9.618,28.950,368.565
10.173,9.614,28.949,379.980
10.317,9.611,28.949,392.014
10.465,9.607,28.950,403.504
10.611,9.605,28.952,413.689
10.756,9.603,28.956,422.099
10.904,9.601,28.961,428.490
11.066,9.600,28.966,432.824
11.251,9.600,28.971,435.244
11.455,9.600,28.975,436.058
11.664,9.601,28.978,435.698
11.856,9.601,28.979,434.607
12.014,9.602,28.979,433.170
12.123,9.602,28.976,431.724
12.176,9.602,28.971,430.556
12.168,9.602,28.964,429.876
12.100,9.601,28.956,429.812
11.978,9.601,28.947,430.403
11.813,9.600,28.939,431.590
11.623,9.599,28.933,433.214
11.434,9.598,28.930,435.010
11.278,9.598,28.928,436.617
11.182,9.597,28.929,437.610
11.156,9.597,28.932,437.605
11.187,9.597,28.936,436.368
11.250,9.598,28.942,433.806
11.321,9.599,28.947,429.886
11.375,9.601,28.952,424.642
11.386,9.603,28.958,418.251
11.329,9.605,28.962,411.013
11.191,9.608,28.966,403.316
10.970,9.610,28.969,395.673
10.680,9.613,28.970,388.802
10.353,9.614,28.969,383.701
10.033,9.615,28.966,381.554
9.770,9.615,28.962,383.130
9.593,9.613,28.957,388.038
9.503,9.611,28.952,394.856
9.482,9.608,28.947,402.067
9.511,9.606,28.942,408.649
9.581,9.604,28.939,414.075
9.695,9.603,28.936,418.117
9.861,9.602,28.935,420.649
10.081,9.602,28.936,421.574
10.336,9.603,28.938,420.892
10.592,9.604,28.942,418.740
10.821,9.605,28.946,415.364
11.004,9.607,28.951,411.148
11.134,9.608,28.956,406.654
11.215,9.610,28.960,402.665
11.256,9.611,28.963,400.043
11.261,9.612,28.964,399.257
11.223,9.612,28.965,400.055
11.133,9.612,28.964,401.789
10.995,9.611,28.961,403.884
10.828,9.611,28.958,405.962
10.669,9.610,28.954,407.850
10.558,9.609,28.950,409.682
10.524,9.608,28.947,411.897
10.573,9.607,28.944,414.774
10.677,9.606,28.941,418.030
10.799,9.605,28.940,421.054
10.899,9.604,28.939,423.303
10.954,9.604,28.938,424.368
10.951,9.604,28.938,423.920
10.889,9.605,28.939,421.744
10.769,9.606,28.940,417.793
10.600,9.607,28.942,412.190
10.390,9.609,28.944,405.273
10.149,9.612,28.946,397.693
9.886,9.614,28.948,390.501
9.617,9.615,28.949,385.004
9.360,9.616,28.949,382.274
9.129,9.616,28.946,382.657
8.937,9.615,28.943,385.636
8.797,9.614,28.939,390.035
8.724,9.612,28.935,394.526
8.732,9.611,28.931,398.096
8.834,9.610,28.929,400.119
9.034,9.610,28.928,400.329
9.322,9.610,28.928,398.875
9.666,9.611,28.931,396.190
10.028,9.612,28.935,392.773
10.375,9.613,28.940,389.241
10.688,9.614,28.945,386.351
10.957,9.614,28.950,384.581
11.164,9.614,28.955,383.831
11.299,9.614,28.959,383.785
11.365,9.614,28.961,384.429
11.380,9.614,28.962,386.044
11.354,9.613,28.960,388.678
11.284,9.612,28.958,391.801
11.161,9.611,28.954,394.620
10.981,9.611,28.951,396.569
10.752,9.610,28.947,397.429
10.503,9.610,28.945,397.290
10.275,9.611,28.943,396.561
10.113,9.611,28.941,395.883
10.041,9.611,28.940,395.704
10.062,9.611,28.939,396.003
10.160,9.611,28.938,396.626
10.323,9.610,28.938,397.777
10.533,9.610,28.936,399.987
10.769,9.609,28.934,403.548
10.999,9.607,28.932,408.102
11.191,9.605,28.929,412.917
11.328,9.604,28.926,417.300
11.405,9.602,28.923,420.709
11.424,9.601,28.922,422.767
11.393,9.601,28.921,423.298
11.323,9.601,28.921,422.304
11.232,9.602,28.922,419.886
11.134,9.604,28.925,416.194
11.036,9.605,28.930,411.443
10.943,9.607,28.935,405.978
10.866,9.609,28.942,400.319
10.815,9.610,28.949,395.131
10.796,9.612,28.955,391.196
10.813,9.612,28.959,389.339
10.872,9.612,28.962,390.042
10.966,9.611,28.964,393.125
11.074,9.610,28.964,397.937
11.165,9.608,28.963,403.724
11.208,9.606,28.961,409.818
11.182,9.604,28.958,415.702
11.081,9.603,28.954,420.994
10.915,9.602,28.949,425.418
10.703,9.601,28.944,428.820
10.467,9.601,28.940,431.206
10.237,9.600,28.936,432.723
10.040,9.601,28.932,433.615
9.895,9.601,28.930,434.131
9.797,9.601,28.929,434.367
9.727,9.601,28.929,434.210
9.671,9.601,28.928,433.441
9.624,9.602,28.928,431.865
9.584,9.602,28.928,429.397
9.555,9.603,28.927,426.129
9.533,9.604,28.927,422.442
9.514,9.604,28.927,419.044
9.493,9.605,28.927,416.881
9.466,9.604,28.926,416.880
9.431,9.603,28.925,419.425
9.384,9.602,28.923,424.004
9.335,9.600,28.922,429.581
9.305,9.599,28.922,435.173
9.328,9.598,28.924,440.019
9.441,9.597,28.927,443.487
9.677,9.597,28.933,445.063
10.050,9.598,28.941,444.424
10.560,9.600,28.953,441.499
11.189,9.603,28.967,436.473
11.907,9.606,28.983,429.760
12.677,9.609,28.999,421.981
