ph_value,timestamp,status,do_value,temp_value,salinity_value,id,serialNumber
6.9,2025-05-11 16:56:49,True,9.62,27.9,174.5,0c8e67d8-98ea-4a0d-8ede-73d10fbcaa48,SN-47F2B3CE
12.4,2025-05-11 16:46:14,True,9.62,27.8,136.0,5eb40101-6c7a-4871-89b0-cb1c94ecbb0e,SN-47F2B3CE
6.3,2025-05-11 16:50:46,True,9.61,27.8,169.4,891bc8d6-62f5-4075-98bd-a83606b934b6,SN-47F2B3CE
7.1,2025-05-11 16:58:03,True,9.62,27.9,172.8,f698f229-1afc-46e4-9055-efefb8d85b8a,SN-47F2B3CE
6.4,2025-05-11 16:53:13,True,9.62,27.9,171.1,bd6311e8-af10-4f81-b054-41bdb2acd0d9,SN-47F2B3CE
6.1,2025-05-11 16:49:54,True,9.61,27.8,167.6,034ed72c-0311-4e13-991d-70a4bb54a90c,SN-47F2B3CE
6.8,2025-05-11 16:57:11,True,9.62,27.9,174.5,bcaddb95-2088-482a-8123-9a54340f2f9a,SN-47F2B3CE
7.0,2025-05-11 16:55:27,True,9.62,27.9,172.8,c951214b-ac9e-493b-b1ae-8978e9848cf3,SN-47F2B3CE
5.8,2025-05-11 16:49:38,True,9.62,27.8,165.9,00eb59c5-3620-41e2-a15a-c1aef2fd82e8,SN-47F2B3CE
6.8,2025-05-11 16:52:02,True,9.62,27.9,171.1,d85ade78-e4ab-4b95-9315-be3a5824591b,SN-47F2B3CE
7.1,2025-05-11 16:58:01,True,9.62,27.9,172.8,10ab6100-9301-4b07-9257-94a229ecf778,SN-47F2B3CE
6.9,2025-05-11 16:52:08,True,9.62,27.9,171.1,e60b7a2e-3c9d-4d26-98e4-c8aab571a50a,SN-47F2B3CE
6.8,2025-05-11 16:50:58,True,9.62,27.9,171.1,be7dc3fd-2b0f-4cf8-99c9-803d0568fe7c,SN-47F2B3CE
9.7,2025-05-11 16:48:20,True,9.62,27.8,164.1,23823634-1263-45e1-829a-c3040c60a980,SN-47F2B3CE
9.8,2025-05-11 16:47:36,True,9.62,27.8,165.9,f64e5b3b-55ed-4564-bfc5-73cc0297de7a,SN-47F2B3CE
9.4,2025-05-11 16:45:58,True,9.0,27.8,134.2,fdb711c0-5622-4e25-8492-fd4d7daf0796,SN-47F2B3CE
6.9,2025-05-11 16:57:31,True,9.62,27.9,174.5,2c0c5def-d0f9-40bd-9a7e-db6936b5a585,SN-47F2B3CE
6.6,2025-05-11 16:49:14,True,9.62,27.8,165.9,ebc9ce9c-5c26-4330-9401-abb3f23e7148,SN-47F2B3CE
6.2,2025-05-11 16:50:02,True,9.62,27.9,167.6,af8b4307-1828-4ed6-b89f-1ce777b1fe07,SN-47F2B3CE
6.5,2025-05-11 16:53:53,True,9.62,27.9,172.8,15e3e1ac-92b6-4b76-959b-e50ff9dfd7d0,SN-47F2B3CE
6.9,2025-05-11 16:51:04,True,9.62,27.9,171.1,6ebd3d57-965e-4d4d-bea9-a4b0d1708fbb,SN-47F2B3CE
6.9,2025-05-11 16:55:31,True,9.62,27.9,172.8,8d567af1-820d-4f5e-848e-1efd74c3bacd,SN-47F2B3CE
6.6,2025-05-11 16:51:18,True,9.62,27.9,171.1,b857cddb-61c3-4949-a8b2-46607898292a,SN-47F2B3CE
6.4,2025-05-11 16:51:32,True,9.62,27.9,171.1,4197a98e-f3d2-4f6c-8f99-91e2560af6eb,SN-47F2B3CE
6.8,2025-05-11 16:50:14,True,9.61,27.8,169.4,17fcaa2c-2954-4a1f-b4e8-982605be8d12,SN-47F2B3CE
6.2,2025-05-11 16:49:58,True,9.61,27.8,167.6,60f9a8bf-af1e-442b-853b-18b58a8c3edd,SN-47F2B3CE
6.6,2025-05-11 16:51:20,True,9.61,27.8,171.1,6407d17b-c4b3-420c-9aae-6229bce719ad,SN-47F2B3CE
6.5,2025-05-11 16:49:22,True,9.62,27.8,165.9,0f2abed7-3c78-4bbf-973e-a69bfce00d95,SN-47F2B3CE
6.8,2025-05-11 16:56:27,True,9.62,27.9,174.5,834135c6-b6d5-4652-aeb9-8561a215d360,SN-47F2B3CE
9.3,2025-05-11 16:46:02,True,9.62,27.8,134.2,429d1e62-3b43-4dbb-8bab-27b2fc955504,SN-47F2B3CE
6.7,2025-05-11 16:55:04,True,9.62,27.9,172.8,3cc1baad-85cc-447d-8453-82bab7526ba7,SN-47F2B3CE
6.5,2025-05-11 16:53:23,True,9.62,27.9,171.1,4e80c377-2863-4c51-8a22-0dc6957e94c4,SN-47F2B3CE
6.9,2025-05-11 16:54:34,True,9.62,27.9,172.8,38604d00-d52f-489c-a8ca-8994ff1025fe,SN-47F2B3CE
6.9,2025-05-11 16:56:33,True,9.62,27.9,174.5,30baa6eb-d3f7-400d-9170-ff45e3c29c19,SN-47F2B3CE
6.6,2025-05-11 16:50:28,True,9.62,27.9,169.4,e87b362a-f019-40e1-bea2-5c39a7861075,SN-47F2B3CE
6.7,2025-05-11 16:55:00,True,9.62,27.9,172.8,57818e2d-3c42-4b84-b071-2aa9afca4146,SN-47F2B3CE
6.6,2025-05-11 16:55:55,True,9.62,27.9,174.5,002bca58-a455-42b3-9afb-3774b6a9d485,SN-47F2B3CE
6.3,2025-05-11 16:53:02,True,9.62,27.9,172.8,5582f484-d7ff-459d-8d8a-807e3b484400,SN-47F2B3CE
6.7,2025-05-11 16:56:01,True,9.62,27.9,174.5,4151be08-f3c3-4e96-987f-deccf5820b6a,SN-47F2B3CE
7.0,2025-05-11 16:51:46,True,9.62,27.9,171.1,3f55fa75-f0f9-40e5-a398-28dbe4a7dad0,SN-47F2B3CE
