ph_value,timestamp,status,do_value,temp_value,salinity_value,id,serialNumber
6.7,2025-05-09 23:23:01,True,9.73,30.1,256.3,ef7409f8-fa37-481e-85de-de5fafb45493,SN-47F2B3CE
6.7,2025-05-09 23:22:56,True,9.73,30.1,256.3,5c868311-aafc-49a2-a907-7ea1d0a11f9f,SN-47F2B3CE
6.7,2025-05-09 23:20:38,True,9.73,30.1,258.0,f9e7ea7b-f84a-4e23-b626-bd7358df0d5c,SN-47F2B3CE
6.8,2025-05-09 23:24:42,True,9.73,30.1,256.3,1b4a863d-b5e4-4f3c-85e5-f36284b9e063,SN-47F2B3CE
6.7,2025-05-09 23:24:04,True,9.74,30.2,256.3,dc950f7b-7083-46e3-9d2f-823a5b564bf6,SN-47F2B3CE
6.5,2025-05-09 23:28:52,True,9.73,30.1,258.0,50c119bb-b6ce-4b05-92bc-258efe9ea6dd,SN-47F2B3CE
6.6,2025-05-09 23:20:42,True,9.73,30.1,258.0,613078c8-ec94-4469-a83d-c429da466b51,SN-47F2B3CE
6.5,2025-05-09 23:29:19,True,9.73,30.1,258.0,1759a110-46fb-465a-9913-cf4a2bcba3c2,SN-47F2B3CE
6.7,2025-05-09 23:21:26,True,9.73,30.1,258.0,83c5e127-40dc-4935-8535-6d8daf70264a,SN-47F2B3CE
6.7,2025-05-09 23:23:05,True,9.73,30.1,258.0,7d9ff8b5-a65b-4107-95ce-7a1cc35e7870,SN-47F2B3CE
6.7,2025-05-09 23:22:14,True,9.73,30.1,258.0,e5fbec77-dfdb-413e-b2d9-d3d9ee5d7c39,SN-47F2B3CE
6.8,2025-05-09 23:25:33,True,9.73,30.1,258.0,96fa9fbf-98b2-49cf-a022-3d13f68c9336,SN-47F2B3CE
6.7,2025-05-09 23:21:40,True,9.74,30.2,256.3,ccc47104-e0e6-45b1-9570-c69977eec738,SN-47F2B3CE
6.4,2025-05-09 23:28:54,True,9.73,30.1,258.0,52c8ad6d-f639-40ba-9336-0d56fa183852,SN-47F2B3CE
6.7,2025-05-09 23:24:38,True,9.73,30.1,256.3,0388cde1-da6d-40f5-b7d3-773504f342f1,SN-47F2B3CE
6.8,2025-05-09 23:25:27,True,9.73,30.1,258.0,8b039c50-5001-4c7e-b372-b24912d5df3b,SN-47F2B3CE
6.7,2025-05-09 23:24:16,True,9.73,30.1,256.3,62534119-53a0-4e04-8d1d-0afe1ace2f1a,SN-47F2B3CE
6.7,2025-05-09 23:25:49,True,9.73,30.1,256.3,183383ff-adec-4bbd-b257-b14e8d6417fb,SN-47F2B3CE
6.6,2025-05-09 23:26:10,True,9.73,30.1,256.3,514b7a0f-6abb-47fb-b488-a39926571573,SN-47F2B3CE
6.7,2025-05-09 23:25:51,True,9.73,30.1,256.3,c5d31770-065e-401d-87ea-576ad68f6340,SN-47F2B3CE
6.5,2025-05-09 23:29:23,True,9.73,30.1,258.0,15bf7efe-ac34-49ac-8d3d-60e59eca0780,SN-47F2B3CE
6.7,2025-05-09 23:22:08,True,9.74,30.2,258.0,26e92cc6-e0ae-4811-98aa-ab19ccd63da2,SN-47F2B3CE
6.7,2025-05-09 23:22:16,True,9.73,30.1,258.0,b240685b-065f-4c61-b987-e36dbc5a321d,SN-47F2B3CE
6.7,2025-05-09 23:23:33,True,9.73,30.1,256.3,04c237e8-c9bc-4261-af2b-6d8caeac1797,SN-47F2B3CE
6.7,2025-05-09 23:22:24,True,9.73,30.1,258.0,cf7ce3ee-7844-4481-b012-eb5bac5a4736,SN-47F2B3CE
6.4,2025-05-09 23:29:00,True,9.73,30.1,258.0,539bf3d6-2d53-4b6f-ae88-9154359b01b4,SN-47F2B3CE
6.7,2025-05-09 23:22:04,True,9.73,30.1,258.0,fa54f416-7cdc-468f-8196-11d678ae70a3,SN-47F2B3CE
6.6,2025-05-09 23:26:08,True,9.73,30.1,256.3,23388381-acbd-48fc-9970-4cc1ccda49c8,SN-47F2B3CE
6.8,2025-05-09 23:25:47,True,9.73,30.1,256.3,8b29123c-2c1e-4755-8f91-a94ad1d499dd,SN-47F2B3CE
6.7,2025-05-09 23:24:10,True,9.73,30.1,256.3,6edbf32d-53ec-4e65-9605-3fbd958e5003,SN-47F2B3CE
6.7,2025-05-09 23:23:21,True,9.73,30.1,256.3,e957edd8-61a3-480b-918c-52cdd9541438,SN-47F2B3CE
6.8,2025-05-09 23:25:01,True,9.73,30.1,256.3,0ada599d-53a8-4d72-81df-39c2ed2e4e89,SN-47F2B3CE
6.4,2025-05-09 23:28:46,True,9.73,30.1,258.0,7dad584e-cb0f-4f15-bccf-ffa118d6294e,SN-47F2B3CE
6.7,2025-05-09 23:21:04,True,9.73,30.1,258.0,47a44787-e3df-4899-997b-16e3b0304b14,SN-47F2B3CE
6.7,2025-05-09 23:22:30,True,9.73,30.1,258.0,cdaf7b59-ed50-4752-b46e-c8024403bc8d,SN-47F2B3CE
6.7,2025-05-09 23:22:02,True,9.73,30.1,258.0,ddc0eeb8-03fa-4520-a6f4-1c97baf38753,SN-47F2B3CE
6.8,2025-05-09 23:21:32,True,9.73,30.1,256.3,7ccb3fec-0800-4bc3-97dc-fb9c0da90563,SN-47F2B3CE
6.7,2025-05-09 23:23:45,True,9.73,30.1,256.3,cb9de180-0b62-4a26-8212-30040a5960d9,SN-47F2B3CE
6.7,2025-05-09 23:23:17,True,9.73,30.1,256.3,57a5cda2-e76a-4c9e-85eb-c584f32610c9,SN-47F2B3CE
6.7,2025-05-09 23:21:54,True,9.73,30.1,258.0,e884a471-f863-4902-8576-7131862eaa0d,SN-47F2B3CE
6.7,2025-05-09 23:23:29,True,9.73,30.1,256.3,7756ef87-2ae6-460a-849e-19f8144785db,SN-47F2B3CE
6.6,2025-05-09 23:26:02,True,9.73,30.1,256.3,b4101a22-37ca-4b29-bef5-3d8fb64388db,SN-47F2B3CE
6.5,2025-05-09 23:29:07,True,9.73,30.1,258.0,28203627-1e4f-455c-a52a-1f003dfd4a3c,SN-47F2B3CE
6.7,2025-05-09 23:21:16,True,9.73,30.1,258.0,1bfaa228-0b09-4ac4-9f4a-6321b359aef6,SN-47F2B3CE
6.8,2025-05-09 23:21:57,True,9.73,30.1,258.0,c252921e-0636-420d-a795-ea69df97bf8b,SN-47F2B3CE
6.5,2025-05-09 23:20:40,True,9.73,30.1,258.0,62b92152-9074-4497-b90a-dc9fa281711d,SN-47F2B3CE
