ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered,label
8.076,9.655,28.9,226.485,0
5.502,9.377,29.468,1313.431,4
7.839,9.653,28.9,226.492,0
8.302,9.652,28.9,225.649,0
10.028,9.64,30.256,621.998,3
0.935,9.619,27.887,172.003,1
7.618,9.657,28.9,227.251,0
9.626,9.64,30.247,622.753,3
8.445,9.655,28.9,226.775,0
10.68,9.613,28.97,388.802,2
7.847,9.656,28.9,227.169,0
8.869,9.652,29.544,390.401,5
7.895,9.657,28.9,227.172,0
8.392,9.654,28.9,226.6,0
8.209,9.657,28.9,227.373,0
0.879,9.621,27.869,167.925,1
6.763,9.406,29.48,1213.954,4
5.463,9.372,29.445,1324.888,4
7.502,9.654,28.9,226.687,0
8.554,9.656,28.9,226.358,0
8.013,9.654,28.9,225.8,0
7.87,9.654,28.9,226.938,0
7.608,9.654,28.9,227.04,0
7.735,9.654,28.9,226.948,0
9.792,9.638,30.254,623.766,3
1.332,9.619,27.853,165.122,1
8.519,9.656,28.9,227.05,0
8.558,9.655,28.9,227.425,0
7.802,9.657,28.9,227.634,0
8.055,9.653,28.9,226.053,0
7.527,9.656,28.9,227.249,0
8.294,9.655,28.9,227.061,0
8.044,9.655,28.9,227.031,0
1.915,9.619,27.842,164.425,1
11.831,9.606,28.958,406.95,2
7.953,9.652,28.9,225.699,0
8.767,9.657,28.9,227.489,0
7.984,9.654,28.9,226.387,0
7.75,9.656,28.9,227.584,0
7.818,9.652,28.9,226.344,0
10.173,9.614,28.949,379.98,2
1.831,9.619,27.864,166.724,1
7.668,9.655,28.9,227.513,0
2.046,9.62,27.859,167.668,1
7.789,9.656,28.9,227.431,0
10.943,9.607,28.935,405.978,2
8.211,9.657,28.9,227.841,0
7.283,9.655,28.9,226.115,0
8.03,9.655,28.9,226.537,0
8.244,9.655,28.9,226.345,0
9.032,9.652,29.559,383.365,5
7.767,9.654,28.9,227.364,0
2.016,9.618,27.841,165.179,1
7.684,9.655,28.9,226.85,0
7.967,9.656,28.9,227.091,0
7.339,9.654,28.9,226.251,0
7.47,9.654,28.9,226.457,0
10.239,9.61,28.939,393.342,2
7.657,9.654,28.9,226.313,0
5.567,9.374,29.463,1321.657,4
8.721,9.658,28.9,228.14,0
8.443,9.655,28.9,227.437,0
8.314,9.657,28.9,226.985,0
7.85,9.655,28.9,226.107,0
8.51,9.656,28.9,226.515,0
9.555,9.603,28.927,426.129,2
8.268,9.655,28.9,226.776,0
10.995,9.611,28.961,403.884,2
7.848,9.654,28.9,226.606,0
11.329,9.605,28.962,411.013,2
8.546,9.655,28.9,227.518,0
8.509,9.655,28.9,226.961,0
8.162,9.652,28.9,225.816,0
8.088,9.654,28.9,225.781,0
8.161,9.658,28.9,227.386,0
1.968,9.618,27.849,166.037,1
7.805,9.652,28.9,226.308,0
1.158,9.614,27.829,170.416,1
8.435,9.654,28.9,226.212,0
8.367,9.655,28.9,227.224,0
1.636,9.619,27.869,169.268,1
8.268,9.657,28.9,227.142,0
11.052,9.597,28.927,441.73,2
7.952,9.654,28.9,226.012,0
9.919,9.627,28.961,342.835,2
7.73,9.653,28.9,226.479,0
7.812,9.656,28.9,227.75,0
9.992,9.637,30.22,620.967,3
7.48,9.654,28.9,226.294,0
7.586,9.655,28.9,227.085,0
8.631,9.655,28.9,226.15,0
10.881,9.612,28.959,388.547,2
8.315,9.654,28.9,225.856,0
9.875,9.635,30.235,623.206,3
8.069,9.655,28.9,226.558,0
8.151,9.653,28.9,225.754,0
8.274,9.655,28.9,227.199,0
8.26,9.656,28.9,228.407,0
8.591,9.654,28.9,227.034,0
7.578,9.653,28.9,226.868,0
5.454,9.39,29.511,1276.032,4
1.895,9.62,27.864,167.092,1
10.471,9.603,28.939,419.933,2
8.155,9.655,28.9,226.57,0
7.885,9.656,28.9,227.164,0
8.283,9.654,28.9,226.104,0
7.845,9.655,28.9,226.218,0
6.292,9.379,29.438,1298.033,4
8.007,9.655,28.9,226.944,0
8.37,9.655,28.9,227.205,0
1.371,9.62,27.873,169.956,1
7.595,9.656,28.9,227.146,0
5.488,9.368,29.451,1334.169,4
5.618,9.375,29.474,1318.07,4
7.987,9.653,28.9,225.711,0
9.687,9.639,30.247,624.116,3
8.537,9.652,28.9,225.005,0
1.087,9.61,27.801,171.014,1
8.253,9.656,28.9,227.319,0
7.668,9.657,28.9,227.31,0
7.808,9.656,28.9,227.291,0
8.333,9.652,28.9,225.609,0
1.6,9.618,27.866,170.904,1
10.081,9.626,28.963,344.941,2
5.753,9.376,29.48,1314.606,4
9.102,9.653,29.549,381.526,5
8.196,9.654,28.9,226.274,0
7.848,9.654,28.9,226.361,0
8.384,9.654,28.9,228.019,0
7.645,9.657,28.9,227.249,0
8.771,9.658,28.9,227.929,0
7.768,9.655,28.9,226.213,0
8.06,9.653,28.9,225.915,0
7.403,9.654,28.9,226.277,0
8.271,9.654,28.9,226.688,0
8.377,9.655,28.9,227.302,0
7.796,9.656,28.9,226.941,0
5.247,9.369,29.461,1333.409,4
10.081,9.602,28.936,421.574,2
7.979,9.654,28.9,226.059,0
7.828,9.654,28.9,226.14,0
11.074,9.61,28.964,397.937,2
8.299,9.655,28.9,227.322,0
1.258,9.616,27.851,169.666,1
8.342,9.655,28.9,227.296,0
7.838,9.654,28.9,226.109,0
1.865,9.62,27.87,168.32,1
8.649,9.655,28.9,226.819,0
9.748,9.64,30.259,625.598,3
7.892,9.654,28.9,226.355,0
8.604,9.655,28.9,226.249,0
8.519,9.655,28.9,226.537,0
7.588,9.655,28.9,226.044,0
7.951,9.653,28.9,225.712,0
